PERFORMANCE METRICS,,,,,,,,,,,,,,
Win Rate:,=COUNTIF(K18:K1000;"WIN")/(COUNTIF(K18:K1000;"WIN")+COUNTIF(K18:K1000;"LOSS")),,,,,,,,,,,,,
Total Predictions:,=COUNTA(C18:C1000),,,,,,,,,,,,,
Pending:,=COUNTIF(K18:K1000;"PENDING"),,,,,,,,,,,,,
Average Confidence:,=AVERAGE(I18:I1000),,,,,,,,,,,,,
Average ROI:,=AVERAGE(N18:N1000),,,,,,,,,,,,,
Best Day Win Rate:,=MAX(O18:O1000),,,,,,,,,,,,,
Current Streak:,=IF(K17="WIN";IF(K16="WIN";2;1);0),,,,,,,,,,,,,
,,,,,,,,,,,,,,
PERFORMANCE BY ASSET,,,,,,,,,,,,,,
BTC/USD:,=COUNTIFS(D18:D1000;"BTC/USD";K18:K1000;"WIN")/COUNTIFS(D18:D1000;"BTC/USD";K18:K1000;"<>PENDING"),,,,,,,,,,,,,
ETH/USD:,=COUNTIFS(D18:D1000;"ETH/USD";K18:K1000;"WIN")/COUNTIFS(D18:D1000;"ETH/USD";K18:K1000;"<>PENDING"),,,,,,,,,,,,,
SOL/USD:,=COUNTIFS(D18:D1000;"SOL/USD";K18:K1000;"WIN")/COUNTIFS(D18:D1000;"SOL/USD";K18:K1000;"<>PENDING"),,,,,,,,,,,,,
Other:,=COUNTIFS(D18:D1000;"<>BTC/USD";D18:D1000;"<>ETH/USD";D18:D1000;"<>SOL/USD";K18:K1000;"WIN")/COUNTIFS(D18:D1000;"<>BTC/USD";D18:D1000;"<>ETH/USD";D18:D1000;"<>SOL/USD";K18:K1000;"<>PENDING"),,,,,,,,,,,,,
,,,,,,,,,,,,,,
LIVE PREDICTIONS TRACKING,,,,,,,,,,,,,,
Date,Time,Prediction_ID,Asset,Signal_Type,Entry_Price,Target_Price,Stop_Loss,Confidence_Score,Timeframe,Result,Actual_Price,Accuracy,ROI,Notes
2024-09-24,09:00,PRED001,BTC/USD,BUY,45000,46500,44000,85%,4H,WIN,46750,TRUE,3.89%,Strong bullish divergence on RSI
2024-09-24,10:30,PRED002,ETH/USD,HOLD,2800,2850,2750,70%,1D,PENDING,,,,"Consolidation phase, waiting for breakout"
2024-09-24,11:45,PRED003,SOL/USD,SELL,145,140,148,75%,2H,WIN,138.5,TRUE,4.48%,Bearish head and shoulders pattern
2024-09-24,13:00,PRED004,ADA/USD,BUY,0.35,0.38,0.33,80%,6H,WIN,0.385,TRUE,10%,Volume breakout confirmed
2024-09-24,14:15,PRED005,MATIC/USD,BUY,0.52,0.55,0.50,72%,4H,LOSS,0.495,FALSE,-4.81%,False breakout
2024-09-24,15:30,PRED006,DOGE/USD,HOLD,0.061,0.063,0.059,65%,1D,PENDING,,,,"Waiting for trend confirmation"
2024-09-24,16:45,PRED007,XRP/USD,BUY,0.52,0.54,0.50,78%,3H,WIN,0.542,TRUE,4.23%,Support level held
2024-09-24,18:00,PRED008,AVAX/USD,SELL,25.5,24.0,26.5,82%,6H,WIN,23.75,TRUE,6.86%,Resistance rejection confirmed
2024-09-24,19:15,PRED009,LINK/USD,BUY,11.2,11.8,10.8,77%,4H,WIN,11.95,TRUE,6.7%,Bullish flag pattern
2024-09-24,20:30,PRED010,DOT/USD,HOLD,4.15,4.25,4.05,68%,1D,PENDING,,,,"Neutral market structure"
2024-09-25,09:00,PRED011,BTC/USD,BUY,46200,47500,45500,88%,8H,WIN,47850,TRUE,3.57%,Golden cross on 4H chart
2024-09-25,10:15,PRED012,ETH/USD,BUY,2850,2950,2800,79%,6H,WIN,2965,TRUE,4.04%,Ascending triangle breakout
2024-09-25,11:30,PRED013,BNB/USD,SELL,215,210,218,71%,4H,LOSS,219,FALSE,-1.86%,Unexpected market pump
2024-09-25,12:45,PRED014,ATOM/USD,BUY,7.8,8.2,7.5,76%,6H,WIN,8.25,TRUE,5.77%,Strong momentum indicators
2024-09-25,14:00,PRED015,UNI/USD,HOLD,5.2,5.35,5.05,69%,1D,PENDING,,,,"Consolidation continues"
2024-09-25,15:15,PRED016,FTM/USD,BUY,0.28,0.30,0.26,81%,4H,WIN,0.302,TRUE,7.86%,Volume surge detected
2024-09-25,16:30,PRED017,ALGO/USD,SELL,0.12,0.115,0.125,74%,3H,WIN,0.114,TRUE,5%,Bearish divergence played out
2024-09-25,17:45,PRED018,NEAR/USD,BUY,1.15,1.20,1.10,83%,6H,WIN,1.21,TRUE,5.22%,Support bounce confirmed
2024-09-25,19:00,PRED019,ICP/USD,HOLD,3.8,3.95,3.65,70%,1D,PENDING,,,,"Range-bound trading"
2024-09-25,20:15,PRED020,VET/USD,BUY,0.022,0.024,0.020,78%,4H,WIN,0.0242,TRUE,10%,Breakout from accumulation zone
